date,fund_id,universe,method,periods_per_year,gross_return,turnover,trading_cost,net_return,growth_gross,growth_net,drawdown_gross,drawdown_net,is_rebalance
2022-03-01,equity_equal_weight,equity,equal_weight,252,-0.01289623119734858,0.02841588918988983,2.841588918988982e-05,-0.0129242806286618,1.231037278020686,1.22933068596644,-0.04841473254484618,-0.0484417726863613,True
2022-03-01,equity_max_sharpe,equity,max_sharpe,252,-0.005253530409115704,0.1235660474723171,0.0001235660474723171,-0.005376447298600096,1.096302635183053,1.093433893204304,-0.06575876973318895,-0.06608328134531083,True
2022-03-01,equity_min_variance,equity,minimum_variance,252,-0.001158906041936529,0.03211120327860476,3.211120327860476e-05,-0.001190980031347655,1.098473235688569,1.096984499844237,-0.0373499487307325,-0.03741301359967586,True
2022-03-01,equity_risk_parity,equity,risk_parity,252,-0.01060398223901559,0.02723973108335168,2.723973108335168e-05,-0.01063093312047436,1.179956736338687,1.178357021624625,-0.0525749991611747,-0.05263255333387407,True
2022-03-01,equity_risk_parity_sentiment,equity,risk_parity_sentiment,252,-0.0105855209376024,0.03808545104930161,3.808545104930161e-05,-0.01062320323431221,1.1746914100035,1.172854954785385,-0.05253053486438009,-0.05261660755353958,True
2022-03-02,combined_equal_weight,combined,equal_weight,252,0.01316067056624647,0,0,0.01316067056624647,1.393236119635339,1.390980348160952,-0.08563774223818699,-0.08579431842967045,False
2022-03-02,combined_max_sharpe,combined,max_sharpe,252,0.01453370854317699,0,0,0.01453370854317699,1.239621784466305,1.236174946237241,-0.08325304296960778,-0.08426369690417357,False
2022-03-02,combined_min_variance,combined,minimum_variance,252,0.01192779013961604,0,0,0.01192779013961604,1.101729340755425,1.100223103787114,-0.02473258326634631,-0.02478670182851306,False
2022-03-02,combined_risk_parity,combined,risk_parity,252,0.01455488383731326,0,0,0.01455488383731326,1.31388886453923,1.311906973488218,-0.0502749516655302,-0.05040510494724304,False
2022-03-02,crypto_equal_weight,crypto,equal_weight,365,-0.01890618610465397,0,0,-0.01890618610465397,2.870552710016148,2.864693560514624,-0.6118714479622978,-0.6120755967733972,False
2022-03-02,crypto_max_sharpe,crypto,max_sharpe,365,-0.01328399667376687,0,0,-0.01328399667376687,3.408173805619089,3.401380776564739,-0.4328054948956865,-0.4328784370744982,False
2022-03-02,crypto_min_variance,crypto,minimum_variance,365,-0.01224291649717406,0,0,-0.01224291649717406,3.158975149961903,3.151463637744746,-0.4223318884356146,-0.4224114907733458,False
2022-03-02,crypto_risk_parity,crypto,risk_parity,365,-0.01890618610465397,0,0,-0.01890618610465397,2.693316000440403,2.687784169430213,-0.610991162094603,-0.6111895027831045,False
